"","48hqc1","48hqc2","48hqc3","48hqc4","48hqc5","48hqc6"
"ASV_683",0,0,0,0,0,2
"ASV_767",0,0,0,0,0,1
"ASV_772",0,0,0,0,0,1
"ASV_790",0,0,0,0,0,1
"ASV_916",0,0,0,0,0,5
"ASV_928",0,0,0,0,0,5
"ASV_953",0,0,0,0,0,2
"ASV_994",0,0,0,0,0,1
"ASV_1047",0,0,0,0,0,1
"ASV_1070",0,0,0,0,0,3
"ASV_1078",0,0,0,0,0,6
"ASV_1162",0,0,0,0,0,2
"ASV_1446",0,0,0,0,0,2
"ASV_1487",0,0,0,0,0,1
"ASV_1511",0,0,0,0,0,1
"ASV_1554",0,0,0,0,0,3
"ASV_1565",0,0,0,0,0,1
"ASV_1642",0,0,0,0,0,1
"ASV_1737",0,0,0,0,0,1
"ASV_1775",0,0,0,0,0,6
"ASV_1926",0,0,0,0,0,2
"ASV_1932",0,0,0,0,0,3
"ASV_1949",0,0,0,0,0,1
"ASV_1963",0,0,0,0,0,3
"ASV_1998",0,0,0,0,0,1
"ASV_1999",0,0,0,0,0,1
"ASV_2058",0,0,0,0,0,2
"ASV_2080",0,0,0,0,0,1
"ASV_2155",0,0,0,0,0,1
"ASV_2347",0,0,0,0,0,5
"ASV_2367",0,0,0,0,0,2
"ASV_2399",0,0,0,0,0,1
"ASV_2404",0,0,0,0,0,1
"ASV_2454",0,0,0,0,0,1
"ASV_2481",0,0,0,0,0,2
"ASV_2651",0,0,0,0,0,4
"ASV_2676",0,0,0,0,0,1
"ASV_2990",0,0,0,0,0,1
"ASV_3233",0,0,0,0,0,1
"ASV_3729",0,0,0,0,0,1
"ASV_3965",0,0,0,0,0,1
"ASV_4026",0,0,0,0,0,2
"ASV_4064",0,0,0,0,0,1
"ASV_4213",0,0,0,0,0,3
"ASV_4308",0,0,0,0,0,3
"ASV_4449",0,0,0,0,0,3
"ASV_4482",0,0,0,0,0,1
"ASV_4529",0,0,0,0,0,2
"ASV_4738",0,0,0,0,0,1
"ASV_4827",0,0,0,0,0,1
"ASV_5003",0,0,0,0,0,1
"ASV_5163",0,0,0,0,0,1
"ASV_5177",0,0,0,0,0,1
"ASV_5370",0,0,0,0,0,1
"ASV_5727",0,0,0,0,0,1
