ASV_ID	pCK1	pCK2	pCK3	pCK4	pCK5	pCK6	pCK7	pCK8	Y01	Y02	Y03	Y04	Y05	Y06	Y07	Y08	Y31	Y32	Y33	Y34	Y35	Y36	Y37	Y38	Y61	Y62	Y63	Y64	Y65	Y66	Y67	Y68	Y91	Y92	Y93	Y94	Y95	Y96	Y97	Y98	Y121	Y122	Y123	Y124	Y125	Y126	Y127	Y128	Y241	Y242	Y243	Y244	Y245	Y246	Y247	Y248
ASV_77	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_78	1	2	1	1	0	1	0	3	0	2	0	0	0	1	0	0	32	13	17	9	45	18	21	7	0	1	0	0	2	0	3	0	0	0	0	1	0	0	0	1	1	3	1	7	1	4	3	5	3	2	1	0	0	5	3	3
ASV_79	46	25	33	30	15	24	23	36	16	35	16	28	29	13	30	36	1	0	0	0	0	0	1	0	12	11	9	22	7	6	20	21	9	10	6	8	6	9	4	8	167	147	191	159	113	157	165	129	784	821	680	798	788	732	810	707
ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1	0
ASV_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	2	3	0	0	0	0	0	0	0	0
ASV_82	8	6	23	6	12	32	12	2	11	10	8	0	0	0	0	5	1	2	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0
ASV_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_84	13	2	4	4	6	15	12	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	1	3	4	1	2	0	2	11	0	8	6	6	3	7	8	6	4	214	218	261	196	166	401	220	204
ASV_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0
ASV_86	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	5	3	5	6	1	0	0	0	0	0	0	0	0	2	1	1	0	1	0	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1
